run	sample	study	bioproject	biosample	center	releasedate	platform	instrument	librarylayout	libraryselection	assay_type	mbases
SRR061211	SRS016002	SRP002163	PRJNA48479	SAMN00037220	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5775
SRR061212	SRS042628	SRP002163	PRJNA48479	SAMN00062637	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5513
SRR061213	SRS019607	SRP002163	PRJNA48479	SAMN00040825	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5993
SRR061214	SRS019607	SRP002163	PRJNA48479	SAMN00040825	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	6027
SRR061215	SRS049959	SRP002163	PRJNA48479	SAMN00069968	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	6184
SRR061218	SRS051031	SRP002163	PRJNA48479	SAMN00071040	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	6035
SRR061219	SRS054590	SRP002163	PRJNA48479	SAMN00074599	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	6225
SRR061220	SRS049959	SRP002163	PRJNA48479	SAMN00069968	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	6082
SRR061221	SRS049389	SRP002163	PRJNA48479	SAMN00069398	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5843
SRR061222	SRS015578	SRP002163	PRJNA48479	SAMN10657921	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	6382
SRR061224	SRS015434	SRP002163	PRJNA48479	SAMN00036652	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5976
SRR061225	SRS015395	SRP002163	PRJNA48479	SAMN00036613	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5659
SRR061226	SRS014613	SRP002163	PRJNA48479	SAMN00035831	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5919
SRR061228	SRS015434	SRP002163	PRJNA48479	SAMN00036652	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5732
SRR061229	SRS014613	SRP002163	PRJNA48479	SAMN00035831	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5708
